granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n
week,nation,norge,2020,20-29,male,2020,42,2020-42,2020/2021,13,2020-10-18,147
week,nation,norge,2020,20-29,male,2020,43,2020-43,2020/2021,14,2020-10-25,284
week,nation,norge,2020,20-29,male,2020,44,2020-44,2020/2021,15,2020-11-01,378
week,nation,norge,2020,20-29,male,2020,45,2020-45,2020/2021,16,2020-11-08,454
week,nation,norge,2020,20-29,male,2020,46,2020-46,2020/2021,17,2020-11-15,404
week,nation,norge,2020,20-29,male,2020,47,2020-47,2020/2021,18,2020-11-22,336
week,nation,norge,2020,20-29,male,2020,48,2020-48,2020/2021,19,2020-11-29,297
week,nation,norge,2020,20-29,male,2020,49,2020-49,2020/2021,20,2020-12-06,229
week,nation,norge,2020,20-29,male,2020,50,2020-50,2020/2021,21,2020-12-13,271
week,nation,norge,2020,20-29,male,2020,51,2020-51,2020/2021,22,2020-12-20,255
week,nation,norge,2020,20-29,male,2020,52,2020-52,2020/2021,23,2020-12-27,330
week,nation,norge,2020,20-29,male,2020,53,2020-53,2020/2021,23.5,2021-01-03,416
week,nation,norge,2020,20-29,male,2021,1,2021-01,2020/2021,24,2021-01-10,535
week,nation,norge,2020,30-39,female,2020,8,2020-08,2019/2020,31,2020-02-23,0
week,nation,norge,2020,30-39,female,2020,9,2020-09,2019/2020,32,2020-03-01,2
week,nation,norge,2020,30-39,female,2020,10,2020-10,2019/2020,33,2020-03-08,7
week,nation,norge,2020,30-39,female,2020,11,2020-11,2019/2020,34,2020-03-15,87
week,nation,norge,2020,30-39,female,2020,12,2020-12,2019/2020,35,2020-03-22,134
week,nation,norge,2020,30-39,female,2020,13,2020-13,2019/2020,36,2020-03-29,124
week,nation,norge,2020,30-39,female,2020,14,2020-14,2019/2020,37,2020-04-05,104
week,nation,norge,2020,30-39,female,2020,15,2020-15,2019/2020,38,2020-04-12,67
week,nation,norge,2020,30-39,female,2020,16,2020-16,2019/2020,39,2020-04-19,49
week,nation,norge,2020,30-39,female,2020,17,2020-17,2019/2020,40,2020-04-26,30
week,nation,norge,2020,30-39,female,2020,18,2020-18,2019/2020,41,2020-05-03,28
week,nation,norge,2020,30-39,female,2020,19,2020-19,2019/2020,42,2020-05-10,23
week,nation,norge,2020,30-39,female,2020,20,2020-20,2019/2020,43,2020-05-17,18
week,nation,norge,2020,30-39,female,2020,21,2020-21,2019/2020,44,2020-05-24,8
week,nation,norge,2020,30-39,female,2020,22,2020-22,2019/2020,45,2020-05-31,9
week,nation,norge,2020,30-39,female,2020,23,2020-23,2019/2020,46,2020-06-07,11
week,nation,norge,2020,30-39,female,2020,24,2020-24,2019/2020,47,2020-06-14,4
week,nation,norge,2020,30-39,female,2020,25,2020-25,2019/2020,48,2020-06-21,15
week,nation,norge,2020,30-39,female,2020,26,2020-26,2019/2020,49,2020-06-28,11
week,nation,norge,2020,30-39,female,2020,27,2020-27,2019/2020,50,2020-07-05,6
week,nation,norge,2020,30-39,female,2020,28,2020-28,2019/2020,51,2020-07-12,5
week,nation,norge,2020,30-39,female,2020,29,2020-29,2019/2020,52,2020-07-19,4
week,nation,norge,2020,30-39,female,2020,30,2020-30,2020/2021,1,2020-07-26,6
week,nation,norge,2020,30-39,female,2020,31,2020-31,2020/2021,2,2020-08-02,21
week,nation,norge,2020,30-39,female,2020,32,2020-32,2020/2021,3,2020-08-09,31
week,nation,norge,2020,30-39,female,2020,33,2020-33,2020/2021,4,2020-08-16,19
week,nation,norge,2020,30-39,female,2020,34,2020-34,2020/2021,5,2020-08-23,29
week,nation,norge,2020,30-39,female,2020,35,2020-35,2020/2021,6,2020-08-30,22
week,nation,norge,2020,30-39,female,2020,36,2020-36,2020/2021,7,2020-09-06,49
week,nation,norge,2020,30-39,female,2020,37,2020-37,2020/2021,8,2020-09-13,53
week,nation,norge,2020,30-39,female,2020,38,2020-38,2020/2021,9,2020-09-20,62
